continent_code,date,cases,deaths
AF,2020-02-15,1,0
AF,2020-02-16,1,0
AF,2020-02-17,1,0
AF,2020-02-18,1,0
AF,2020-02-19,1,0
AF,2020-02-20,1,0
AF,2020-02-21,1,0
AF,2020-02-22,1,0
AF,2020-02-23,1,0
AF,2020-02-24,1,0
AF,2020-02-25,1,0
AF,2020-02-26,2,0
AF,2020-02-27,2,0
AF,2020-02-28,3,0
AF,2020-02-29,3,0
AF,2020-03-01,5,0
AF,2020-03-02,6,0
AF,2020-03-03,3,0
AF,2020-03-04,5,0
AF,2020-03-05,15,0
AF,2020-03-06,27,0
AF,2020-03-07,17,0
AF,2020-03-08,2,0
AF,2020-03-09,74,1
AF,2020-03-10,66,1
AF,2020-03-11,67,1
AF,2020-03-12,108,2
AF,2020-03-13,150,4
AF,2020-03-14,191,5
AF,2020-03-15,239,6
AF,2020-03-16,323,8
AF,2020-03-17,402,8
AF,2020-03-18,494,12
AF,2020-03-19,633,16
AF,2020-03-20,744,17
AF,2020-03-21,975,24
AF,2020-03-22,1176,35
AF,2020-03-23,1389,44
AF,2020-03-24,1738,52
AF,2020-03-25,2203,64
AF,2020-03-26,2690,72
AF,2020-03-27,3278,84
AF,2020-03-28,3804,103
AF,2020-03-29,4124,124
AF,2020-03-30,4629,143
AF,2020-03-31,5137,166
AF,2020-04-01,5626,189
AF,2020-04-02,6248,224
AF,2020-04-03,6883,256
AF,2020-04-04,7508,305
AF,2020-04-05,8440,379
AF,2020-04-06,9175,434
AF,2020-04-07,9802,477
AF,2020-04-08,10524,522
AF,2020-04-09,11446,573
AF,2020-04-10,12280,630
AF,2020-04-11,12952,691
AF,2020-04-12,13666,743
AF,2020-04-13,14522,789
AF,2020-04-14,15291,835
AF,2020-04-15,16281,876
AF,2020-04-16,17243,911
AF,2020-04-17,18329,965
AF,2020-04-18,19897,1016
AF,2020-04-19,21057,1057
AF,2020-04-20,22303,1120
AF,2020-04-21,23267,1155
AF,2020-04-22,24617,1189
AF,2020-04-23,25686,1232
AF,2020-04-24,27221,1286
AF,2020-04-25,29075,1334
AF,2020-04-26,30316,1378
AF,2020-04-27,31748,1415
AF,2020-04-28,33162,1470
AF,2020-04-29,34932,1524
AF,2020-04-30,36735,1591
AF,2020-05-01,38850,1635
AF,2020-05-02,40757,1690
AF,2020-05-03,42776,1760
AF,2020-05-04,44435,1799
AF,2020-05-05,47122,1845
AF,2020-05-06,49208,1914
AF,2020-05-07,51677,2011
AF,2020-05-08,54106,2078
AF,2020-05-09,57836,2155
AF,2020-05-10,60637,2223
AF,2020-05-11,63391,2290
AF,2020-05-12,66510,2347
AF,2020-05-13,69504,2403
AF,2020-05-14,72533,2490
AF,2020-05-15,75679,2563
AF,2020-05-16,78432,2634
AF,2020-05-17,81435,2699
AF,2020-05-18,84816,2759
AF,2020-05-19,88085,2831
AF,2020-05-20,91365,2903
AF,2020-05-21,94985,2992
AF,2020-05-22,99855,3100
AF,2020-05-23,103712,3183
AF,2020-05-24,108151,3257
AF,2020-05-25,111909,3339
AF,2020-05-26,115764,3478
AF,2020-05-27,119681,3590
AF,2020-05-28,124532,3691
AF,2020-05-29,129281,3789
AF,2020-05-30,135149,3923
AF,2020-05-31,141622,4071
AF,2020-06-01,146996,4222
AF,2020-06-02,152485,4344
AF,2020-06-03,157450,4495
AF,2020-06-04,162175,4583
AF,2020-06-05,169823,4743
AF,2020-06-06,177209,4904
AF,2020-06-07,183627,5033
AF,2020-06-08,189598,5171
AF,2020-06-09,196570,5346
AF,2020-06-10,203142,5517
AF,2020-06-11,209623,5671
AF,2020-06-12,216870,5844
AF,2020-06-13,225490,6100
AF,2020-06-14,233823,6297
AF,2020-06-15,243125,6523
AF,2020-06-16,251277,6760
AF,2020-06-17,258737,6998
AF,2020-06-18,267242,7197
AF,2020-06-19,275621,7401
AF,2020-06-20,285648,7688
AF,2020-06-21,296553,7920
AF,2020-06-22,306067,8111
AF,2020-06-23,315261,8329
AF,2020-06-24,324392,8613
AF,2020-06-25,333696,8763
AF,2020-06-26,347779,9069
AF,2020-06-27,359078,9276
AF,2020-06-28,371448,9480
AF,2020-06-29,382730,9660
AF,2020-06-30,393444,9878
AF,2020-07-01,405076,10147
AF,2020-07-02,418314,10400
AF,2020-07-03,432700,10644
AF,2020-07-04,447512,10878
AF,2020-07-05,463421,11079
AF,2020-07-06,478071,11372
AF,2020-07-07,492770,11630
AF,2020-07-08,509003,11988
AF,2020-07-09,523546,12235
AF,2020-07-10,542312,12461
AF,2020-07-11,559432,12760
AF,2020-07-12,578560,12989
AF,2020-07-13,594649,13155
AF,2020-07-14,611806,13461
AF,2020-07-15,626726,13800
