who_region_code,date,cases,deaths
AFRO,2020-02-26,1,0
AFRO,2020-02-27,1,0
AFRO,2020-02-28,2,0
AFRO,2020-02-29,2,0
AFRO,2020-03-01,4,0
AFRO,2020-03-02,4,0
AFRO,2020-03-03,1,0
AFRO,2020-03-04,5,0
AFRO,2020-03-05,15,0
AFRO,2020-03-06,22,0
AFRO,2020-03-07,2,0
AFRO,2020-03-08,2,0
AFRO,2020-03-09,25,0
AFRO,2020-03-10,9,0
AFRO,2020-03-11,3,0
AFRO,2020-03-12,36,0
AFRO,2020-03-13,51,1
AFRO,2020-03-14,74,2
AFRO,2020-03-15,111,2
AFRO,2020-03-16,166,4
AFRO,2020-03-17,217,4
AFRO,2020-03-18,258,5
AFRO,2020-03-19,350,7
AFRO,2020-03-20,428,8
AFRO,2020-03-21,575,12
AFRO,2020-03-22,731,22
AFRO,2020-03-23,901,26
AFRO,2020-03-24,1182,30
AFRO,2020-03-25,1545,36
AFRO,2020-03-26,1833,39
AFRO,2020-03-27,2356,47
AFRO,2020-03-28,2717,49
AFRO,2020-03-29,2979,64
AFRO,2020-03-30,3261,72
AFRO,2020-03-31,3617,83
AFRO,2020-04-01,3940,101
AFRO,2020-04-02,4434,127
AFRO,2020-04-03,4877,144
AFRO,2020-04-04,5502,193
AFRO,2020-04-05,5955,233
AFRO,2020-04-06,6435,271
AFRO,2020-04-07,6908,294
AFRO,2020-04-08,7260,322
AFRO,2020-04-09,7810,351
AFRO,2020-04-10,8374,385
AFRO,2020-04-11,8829,419
AFRO,2020-04-12,9245,452
AFRO,2020-04-13,9806,474
AFRO,2020-04-14,10234,502
AFRO,2020-04-15,10806,528
AFRO,2020-04-16,11339,553
AFRO,2020-04-17,11799,589
AFRO,2020-04-18,12696,626
AFRO,2020-04-19,13492,639
AFRO,2020-04-20,14300,682
AFRO,2020-04-21,14778,701
AFRO,2020-04-22,15628,719
AFRO,2020-04-23,16459,751
AFRO,2020-04-24,17540,786
AFRO,2020-04-25,18741,808
AFRO,2020-04-26,19489,835
AFRO,2020-04-27,20658,861
AFRO,2020-04-28,21442,880
AFRO,2020-04-29,22684,903
AFRO,2020-04-30,24071,943
AFRO,2020-05-01,25703,969
AFRO,2020-05-02,27092,1008
AFRO,2020-05-03,28407,1053
AFRO,2020-05-04,29479,1076
AFRO,2020-05-05,31635,1106
AFRO,2020-05-06,32970,1150
AFRO,2020-05-07,34747,1222
AFRO,2020-05-08,36496,1267
AFRO,2020-05-09,39381,1312
AFRO,2020-05-10,41317,1360
AFRO,2020-05-11,43205,1405
AFRO,2020-05-12,45545,1449
AFRO,2020-05-13,47810,1488
AFRO,2020-05-14,50189,1553
AFRO,2020-05-15,52615,1607
AFRO,2020-05-16,54896,1656
AFRO,2020-05-17,57223,1697
AFRO,2020-05-18,59504,1732
AFRO,2020-05-19,61697,1776
AFRO,2020-05-20,64135,1830
AFRO,2020-05-21,66380,1887
AFRO,2020-05-22,69745,1966
AFRO,2020-05-23,72232,2021
AFRO,2020-05-24,75517,2056
AFRO,2020-05-25,78587,2108
AFRO,2020-05-26,81156,2199
AFRO,2020-05-27,84065,2289
AFRO,2020-05-28,87541,2352
AFRO,2020-05-29,90584,2402
AFRO,2020-05-30,94901,2464
AFRO,2020-05-31,99277,2544
AFRO,2020-06-01,102615,2617
AMRO,2020-01-21,1,0
AMRO,2020-01-22,1,0
AMRO,2020-01-23,1,0
AMRO,2020-01-24,1,0
AMRO,2020-01-25,2,0
AMRO,2020-01-26,3,0
AMRO,2020-01-27,6,0
AMRO,2020-01-28,7,0
AMRO,2020-01-29,8,0
AMRO,2020-01-30,8,0
AMRO,2020-01-31,9,0
AMRO,2020-02-01,11,0
AMRO,2020-02-02,12,0
AMRO,2020-02-03,15,0
AMRO,2020-02-04,15,0
AMRO,2020-02-05,16,0
AMRO,2020-02-06,17,0
AMRO,2020-02-07,19,0
AMRO,2020-02-08,19,0
AMRO,2020-02-09,19,0
AMRO,2020-02-10,19,0
AMRO,2020-02-11,20,0
AMRO,2020-02-12,20,0
AMRO,2020-02-13,21,0
AMRO,2020-02-14,22,0
AMRO,2020-02-15,23,0
AMRO,2020-02-16,23,0
AMRO,2020-02-17,23,0
AMRO,2020-02-18,23,0
AMRO,2020-02-19,23,0
AMRO,2020-02-20,23,0
AMRO,2020-02-21,25,0
AMRO,2020-02-22,44,0
AMRO,2020-02-23,44,0
AMRO,2020-02-24,44,0
AMRO,2020-02-25,64,0
AMRO,2020-02-26,65,0
AMRO,2020-02-27,72,0
AMRO,2020-02-28,75,0
AMRO,2020-02-29,85,0
AMRO,2020-03-01,96,1
AMRO,2020-03-02,127,2
AMRO,2020-03-03,140,6
AMRO,2020-03-04,159,9
AMRO,2020-03-05,208,11
AMRO,2020-03-06,305,12
AMRO,2020-03-07,420,14
AMRO,2020-03-08,513,18
AMRO,2020-03-09,696,22
AMRO,2020-03-10,911,27
AMRO,2020-03-11,1241,31
AMRO,2020-03-12,1572,32
AMRO,2020-03-13,2051,44
AMRO,2020-03-14,2735,52
AMRO,2020-03-15,3686,63
AMRO,2020-03-16,4763,77
AMRO,2020-03-17,6062,96
AMRO,2020-03-18,8255,124
AMRO,2020-03-19,11800,173
AMRO,2020-03-20,17412,179
AMRO,2020-03-21,23789,308
AMRO,2020-03-22,32117,408
AMRO,2020-03-23,41878,557
AMRO,2020-03-24,54379,700
AMRO,2020-03-25,64553,946
AMRO,2020-03-26,81305,1227
AMRO,2020-03-27,100167,1519
AMRO,2020-03-28,121272,1997
AMRO,2020-03-29,143698,2543
AMRO,2020-03-30,164515,2932
AMRO,2020-03-31,188643,3686
AMRO,2020-04-01,217441,4698
AMRO,2020-04-02,248783,5914
AMRO,2020-04-03,281860,6959
AMRO,2020-04-04,318375,8246
AMRO,2020-04-05,356859,9812
AMRO,2020-04-06,386739,11137
AMRO,2020-04-07,420928,12678
AMRO,2020-04-08,456497,14862
AMRO,2020-04-09,497159,17082
AMRO,2020-04-10,537627,19309
AMRO,2020-04-11,581095,21715
AMRO,2020-04-12,614614,23826
AMRO,2020-04-13,647127,25621
AMRO,2020-04-14,676053,27414
AMRO,2020-04-15,710537,30308
AMRO,2020-04-16,748196,35688
AMRO,2020-04-17,786954,38492
AMRO,2020-04-18,826206,42751
AMRO,2020-04-19,866971,45218
AMRO,2020-04-20,898973,47369
AMRO,2020-04-21,934273,49605
AMRO,2020-04-22,979198,52686
AMRO,2020-04-23,1005603,54950
AMRO,2020-04-24,1042350,58917
AMRO,2020-04-25,1072529,60760
AMRO,2020-04-26,1134566,63663
AMRO,2020-04-27,1182377,65752
AMRO,2020-04-28,1215094,67869
AMRO,2020-04-29,1252590,71085
AMRO,2020-04-30,1293596,74591
AMRO,2020-05-01,1339529,77578
AMRO,2020-05-02,1390403,80684
AMRO,2020-05-03,1434125,83135
AMRO,2020-05-04,1475931,85260
AMRO,2020-05-05,1513917,87232
AMRO,2020-05-06,1553834,90566
AMRO,2020-05-07,1595324,94122
AMRO,2020-05-08,1644806,97602
AMRO,2020-05-09,1690670,100430
AMRO,2020-05-10,1736699,103260
AMRO,2020-05-11,1772611,105317
AMRO,2020-05-12,1803268,107250
AMRO,2020-05-13,1845621,110714
AMRO,2020-05-14,1889840,113827
AMRO,2020-05-15,1943444,117069
AMRO,2020-05-16,1997499,120406
AMRO,2020-05-17,2049555,123091
AMRO,2020-05-18,2088087,124862
AMRO,2020-05-19,2134444,126832
AMRO,2020-05-20,2186896,130243
AMRO,2020-05-21,2245213,133441
AMRO,2020-05-22,2305083,136725
AMRO,2020-05-23,2365415,139960
AMRO,2020-05-24,2419343,142580
AMRO,2020-05-25,2471479,144347
AMRO,2020-05-26,2518840,146391
AMRO,2020-05-27,2571962,149023
AMRO,2020-05-28,2630844,152598
AMRO,2020-05-29,2698506,155764
AMRO,2020-05-30,2769347,158866
AMRO,2020-05-31,2846378,161514
AMRO,2020-06-01,2904553,163281
EMRO,2020-01-27,1,0
EMRO,2020-01-28,1,0
EMRO,2020-01-29,1,0
EMRO,2020-01-30,4,0
EMRO,2020-01-31,4,0
EMRO,2020-02-01,4,0
EMRO,2020-02-02,5,0
EMRO,2020-02-03,5,0
EMRO,2020-02-04,5,0
EMRO,2020-02-05,5,0
EMRO,2020-02-06,5,0
EMRO,2020-02-07,5,0
EMRO,2020-02-08,7,0
EMRO,2020-02-09,7,0
EMRO,2020-02-10,7,0
EMRO,2020-02-11,8,0
EMRO,2020-02-12,8,0
EMRO,2020-02-13,8,0
EMRO,2020-02-14,8,0
EMRO,2020-02-15,9,0
EMRO,2020-02-16,9,0
EMRO,2020-02-17,10,0
EMRO,2020-02-18,10,0
EMRO,2020-02-19,10,0
EMRO,2020-02-20,12,2
EMRO,2020-02-21,15,2
EMRO,2020-02-22,31,4
EMRO,2020-02-23,43,5
EMRO,2020-02-24,62,8
EMRO,2020-02-25,87,12
EMRO,2020-02-26,154,15
EMRO,2020-02-27,226,19
EMRO,2020-02-28,359,26
EMRO,2020-02-29,510,34
EMRO,2020-03-01,730,43
EMRO,2020-03-02,1137,54
EMRO,2020-03-03,1602,66
EMRO,2020-03-04,2451,77
EMRO,2020-03-05,3020,92
EMRO,2020-03-06,3739,109
EMRO,2020-03-07,4873,124
EMRO,2020-03-08,6089,147
EMRO,2020-03-09,6877,201
EMRO,2020-03-10,7579,238
EMRO,2020-03-11,8575,299
EMRO,2020-03-12,9794,366
EMRO,2020-03-13,10724,442
EMRO,2020-03-14,12358,526
EMRO,2020-03-15,13957,627
EMRO,2020-03-16,15371,740
EMRO,2020-03-17,16721,870
EMRO,2020-03-18,18043,1010
EMRO,2020-03-19,19534,1161
EMRO,2020-03-20,20946,1312
EMRO,2020-03-21,22412,1467
EMRO,2020-03-22,23865,1596
EMRO,2020-03-23,25319,1736
EMRO,2020-03-24,27092,1872
EMRO,2020-03-25,29516,2007
EMRO,2020-03-26,32384,2159
EMRO,2020-03-27,35280,2333
EMRO,2020-03-28,38757,2500
EMRO,2020-03-29,42443,2654
EMRO,2020-03-30,45929,2798
EMRO,2020-03-31,49967,2945
EMRO,2020-04-01,54111,3109
EMRO,2020-04-02,57800,3267
EMRO,2020-04-03,61810,3422
EMRO,2020-04-04,61810,3422
EMRO,2020-04-05,69138,3767
EMRO,2020-04-06,73953,3965
EMRO,2020-04-07,78011,4135
EMRO,2020-04-08,81683,4300
EMRO,2020-04-09,85282,4456
EMRO,2020-04-10,88587,4607
EMRO,2020-04-11,92168,4770
EMRO,2020-04-12,95892,4943
EMRO,2020-04-13,99581,5106
EMRO,2020-04-14,103596,5254
EMRO,2020-04-15,107332,5393
EMRO,2020-04-16,111307,5528
EMRO,2020-04-17,115722,5658
EMRO,2020-04-18,120025,5781
EMRO,2020-04-19,124542,5907
EMRO,2020-04-20,129264,6047
EMRO,2020-04-21,134460,6184
